SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,March-4-2020,Vacant Land,9971 Brinwood Dr,Wills Point,TX,75169,25500,0,,Brinwood Shores Add Sec B,,9496,1972,55,,8,Sold,,,http://www.redfin.com/TX/Wills-Point/9971-Brinwood-Dr-75169/home/33793241,NTREIS,14276169,N,Y,32.863541,-96.04585
PAST SALE,December-2-2019,Vacant Land,2491 Lakewood Cir,Wills Point,TX,75169,25000,0,,Waco Bay Estates Ph 2,,15769,,148,,,Sold,,,http://www.redfin.com/TX/Wills-Point/2491-Lakewood-Cir-75169/home/143502481,NTREIS,14097956,N,Y,32.8417847,-96.0279508
PAST SALE,August-29-2019,Vacant Land,8292 County Road 2276,Quinlan,TX,75474,25000,0,,James Mcadams Surv Abs 852,,32670,,243,,,Sold,,,http://www.redfin.com/TX/Quinlan/8292-Co-Rd-2276-75474/home/33731210,NTREIS,14165966,N,Y,32.9405429,-96.1444763
PAST SALE,October-2-2019,Vacant Land,3531 Lee St,Greenville,TX,75401,25000,0,,Orig Town Of Greenville,,,,209,,,Sold,,,http://www.redfin.com/TX/Greenville/3531-Lee-St-75401/home/33843996,NTREIS,14181496,N,Y,33.139697,-96.116834
PAST SALE,August-26-2019,Vacant Land,Hwy 69 N,Greenville,TX,75401,25000,0,,,,43560,,246,,,Sold,,,http://www.redfin.com/TX/Greenville/4747-Hwy-69-S-75402/home/143499511,NTREIS,14139223,N,Y,33.0421455,-96.0138141
PAST SALE,July-31-2018,Vacant Land,0 Hickory St,Commerce,TX,75428,25000,0,,Orig Town Of Commerce,,48308,,637,,,Sold,,,http://www.redfin.com/TX/Commerce/Hickory-St-75428/home/33766548,NTREIS,13639808,N,Y,33.240158,-95.895209
PAST SALE,November-21-2019,Vacant Land,1504 Deer Trl,Commerce,TX,75428,25000,0,,Cornerstone Dev Ph I,,14331,,159,,,Sold,,,http://www.redfin.com/TX/Commerce/1504-Deer-Trl-75428/home/167132844,NTREIS,14182656,N,Y,33.2320084,-95.9037051
PAST SALE,December-14-2018,Vacant Land,7718 State Highway 50,Commerce,TX,75428,25000,0,,unk,,32670,,501,,,Sold,,,http://www.redfin.com/TX/Commerce/7718-TX-50-75428/home/33877825,NTREIS,13818079,N,Y,33.3011593,-95.9067733
PAST SALE,August-17-2018,Vacant Land,9387 Amy Dr,Hawk Cove,TX,75474,24900,0,,Whiskers Retreat Instl #1,,58414,,620,,,Sold,,,http://www.redfin.com/TX/Quinlan/9387-Amy-Dr-75474/home/33873328,NTREIS,13810698,N,Y,32.88507,-96.079406
PAST SALE,January-29-2020,Vacant Land,4121 Stonewall St,Greenville,TX,75401,23000,0,,Orig Town Of Greenville,,8451,,90,,,Sold,,,http://www.redfin.com/TX/Greenville/4121-Stonewall-St-75401/home/33842837,NTREIS,14253745,N,Y,33.1273709,-96.107148
PAST SALE,October-18-2019,Vacant Land,1321 Red Hawk Bay Dr,West Tawakoni,TX,75474,22500,0,,Redhawk Bay Add,,26310,,193,,4,Sold,,,http://www.redfin.com/TX/West-Tawakoni/1321-Red-Hawk-Bay-Dr-75474/home/33857095,NTREIS,13684872,N,Y,32.885822,-96.028135
PAST SALE,February-10-2020,Vacant Land,9985 Brinwood Dr,Wills Point,TX,75169,22500,0,,Brinwood Shores Add Sec B,,20909,,78,,3,Sold,,,http://www.redfin.com/TX/Wills-Point/9985-Brinwood-Dr-75169/home/33793247,NTREIS,14231384,N,Y,32.8630425,-96.0455419
PAST SALE,August-28-2019,Vacant Land,805 Redoak Dr,West Tawakoni,TX,75474,22000,0,,Banner Add Sec 2,,51488,,244,,,Sold,,,http://www.redfin.com/TX/West-Tawakoni/805-Redoak-Dr-75474/home/33790867,NTREIS,14138554,N,Y,32.892988,-96.012844
PAST SALE,September-10-2018,Vacant Land,2439 Trout Dr,Quinlan,TX,75474,22000,0,,Waco Bay Estates Ph 1,,29185,,596,,30,Sold,,,http://www.redfin.com/TX/Wills-Point/2439-Trout-St-75169/unit-DRD/home/33710202,NTREIS,13882216,N,Y,32.837912,-96.028107
PAST SALE,January-14-2019,Vacant Land,207 S 4th St,Celeste,TX,75423,22000,0,,Orig Town Of Celeste,,18295,,470,,,Sold,,,http://www.redfin.com/TX/Celeste/207-S-4th-St-75423/home/33839094,NTREIS,13931915,N,Y,33.2921402,-96.1972251
PAST SALE,July-23-2018,Vacant Land,1209 Red Hawk Bay Dr,West Tawakoni,TX,75474,20599,0,,Redhawk Bay Add,,18644,,645,,4,Sold,,,http://www.redfin.com/TX/West-Tawakoni/1209-Red-Hawk-Bay-Dr-75474/home/33857077,NTREIS,13684878,N,Y,32.887642,-96.028568
