SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,December-28-2017,Vacant Land,616 County Road 301,Floresville,TX,78114,68900,,,N/a,,238011,,680,,,Sold,,,http://www.redfin.com/TX/Floresville/616-County-Rd-301-78114/home/99922295,Sabor,1210586,N,Y,29.1628445,-98.1700288
PAST SALE,June-8-2018,Vacant Land,312 Abrego Lake Dr,Floresville,TX,78114,45000,,,Abrego Lake,,47480,,518,,27,Sold,,,http://www.redfin.com/TX/Floresville/312-Abrego-Lake-Dr-78114/home/145209375,Sabor,1300520,N,Y,29.231365,-98.198819
PAST SALE,January-31-2019,Vacant Land,14848 Lytle Somerset Rd,Lytle,TX,78052,160000,,,Lytle-bruce,960,43560,,281,167,,Sold,,,http://www.redfin.com/TX/Lytle/14848-Lytle-Somerset-St-78052/home/48596605,Sabor,1275670,N,Y,29.2286489,-98.7908276
PAST SALE,October-9-2018,Vacant Land,TBD CR 302,Jourdanton,TX,78026,80000,,,N/a,,277041,,395,,,Sold,,,http://www.redfin.com/TX/Jourdanton/Co-Rd-302-78026/home/52281316,Sabor,1343110,N,Y,28.994208,-98.659209
PAST SALE,August-17-2018,Vacant Land,315 Eaglerock,Poteet,TX,78064,103000,,,Trophy Oaks,,45738,,448,,,Sold,,,http://www.redfin.com/TX/Poteet/325-Eagle-Rock-78065/home/48597844,Sabor,1321439,N,Y,29.134614,-98.671562
PAST SALE,January-12-2018,Vacant Land,000 Clear Lake Loop,Poteet,TX,78065,55000,,,Clear Lake Ranches,,217800,,665,,,Sold,,,http://www.redfin.com/TX/Poteet/665-Clear-Lake-Dr-78065/home/52281830,Sabor,1283367,N,Y,29.1448615,-98.6445653
PAST SALE,April-27-2018,Vacant Land,815 Enck Ln (11-acres),La Vernia,TX,78121,70000,,,Not In Defined Subdivision,,479160,,560,,,Sold,,,http://www.redfin.com/TX/La-Vernia/815-Enck-Ln-78121/home/48541638,Sabor,1255739,N,Y,29.299764,-98.090065
PAST SALE,February-22-2019,Vacant Land,368 Abrego Lake Dr,Floresville,TX,78114,43000,,,Abrego Lake,,53143,,259,,27,Sold,,,http://www.redfin.com/TX/Floresville/368-Abrego-Lake-Dr-78114/home/145234486,Sabor,1300797,N,Y,29.229008,-98.202149
PAST SALE,November-27-2018,Vacant Land,106 Hickory Ln,Floresville,TX,78114,35000,,,N/a,,87120,,346,,,Sold,,,http://www.redfin.com/TX/Floresville/106-Hickory-Ln-78114/home/48529884,Sabor,1346636,N,Y,29.2406083,-98.1860715
PAST SALE,January-29-2018,Vacant Land,7805 N US Highway 281,Leming,TX,78050,76500,,,Not In Defined Subdivision,,300999,,648,,,Sold,,,http://www.redfin.com/TX/Leming/7805-U-S-281-78050/home/144328832,Sabor,1279992,N,Y,29.0682133,-98.485967
PAST SALE,February-14-2018,Vacant Land,412 N Seguin,La Vernia,TX,78121,50000,,,La Vernia,952,113256,,632,53,,Sold,,,http://www.redfin.com/TX/La-Vernia/412-Seguin-Rd-78121/home/48539712,Sabor,1284834,N,Y,29.3583687,-98.1088337
PAST SALE,January-10-2018,Vacant Land,LOT 67 E Bob White,Somerset,TX,78069,54789,,,Forest Oaks,,84288,,667,,,Sold,,,http://www.redfin.com/TX/Somerset/67-E-Bob-White-Dr-78069/home/144540751,Sabor,1284314,N,Y,29.1814253,-98.7050578
PAST SALE,January-19-2018,Vacant Land,112 Gentle Breeze,Floresville,TX,78114,31000,,,South Breeze,55974,55974,,658,1,,Sold,,,http://www.redfin.com/TX/Floresville/112-Gentle-Breeze-78114/home/48537055,Sabor,1234547,N,Y,29.138025,-98.07743
PAST SALE,January-17-2018,Vacant Land,0 Timbercreek Dr,Poteet,TX,78065,30000,,,Shalimar Village,22500,22651,,660,1,,Sold,,,http://www.redfin.com/TX/Poteet/0-Timbercreek-78065/home/133739645,Sabor,1252178,N,Y,29.1565989,-98.5907224
PAST SALE,November-30-2017,Vacant Land,8858 US Highway 181 N,Floresville,TX,78114,26000,,,Creekwood,,51400,,708,,,Sold,,,http://www.redfin.com/TX/Floresville/8858-U-S-Hwy-181-N-78114/home/48528119,Sabor,1275470,N,Y,29.248156,-98.268837
PAST SALE,January-17-2018,Vacant Land,710 County Road 168,Floresville,TX,78114,52000,,,Rio Alegre,,439956,,660,,,Sold,,,http://www.redfin.com/TX/Floresville/710-County-Rd-168-78114/home/48532977,Sabor,1282843,N,Y,29.1842635,-98.3005574
PAST SALE,December-3-2018,Vacant Land,LOT 1 A Whitetail Dr,La Vernia,TX,78121,128640,,,N/a,,233481,,340,,21,Sold,,,http://www.redfin.com/TX/La-Vernia/LOT-1-A-Whitetail-Dr-78121/home/145177719,Sabor,1299610,N,Y,29.356348,-98.1155633
PAST SALE,August-27-2018,Vacant Land,LOT 4 Whitetail Dr,La Vernia,TX,78121,201000,,,N/a,,549160,,438,,21,Sold,,,http://www.redfin.com/TX/La-Vernia/LOT-4-Whitetail-Dr-78121/home/146857816,Sabor,1299736,N,Y,29.356348,-98.1155633
PAST SALE,December-7-2018,Vacant Land,LOT 6B Whitetail Dr,La Vernia,TX,78121,132719,,,N/a,,240886,,336,,21,Sold,,,http://www.redfin.com/TX/La-Vernia/LOT-6B-Whitetail-Dr-78121/home/145234972,Sabor,1300823,N,Y,29.356348,-98.1155633
PAST SALE,March-1-2019,Vacant Land,LOT 5 Whitetail Dr,La Vernia,TX,78121,205000,,,N/a,,540187,,252,,21,Sold,,,http://www.redfin.com/TX/La-Vernia/LOT-5-Whitetail-Dr-78121/home/146857798,Sabor,1300817,N,Y,29.356348,-98.1155633
PAST SALE,March-12-2019,Vacant Land,136 Santa Gertrudis,Other,TX,78161,112500,,,,,435600,,241,,,Sold,,,http://www.redfin.com/TX/Sutherland-Springs/136-Santa-Gertrudis-Dr-78161/home/147122699,ACTRIS,2705886,N,Y,29.270703,-98.08946
PAST SALE,March-7-2019,Vacant Land,132 Bridge Water Dr,La Vernia,TX,78121,82500,,,Bridge Water Ranch Wilson Coun,,63597,,246,,42,Sold,,,http://www.redfin.com/TX/La-Vernia/132-Bridgewater-Dr-78121/home/52420173,Sabor,1271405,N,Y,29.2745604,-98.175718
PAST SALE,March-28-2019,Vacant Land,177 Woodlands Dr,La Vernia,TX,78121,85000,,,Woodlands,,52272,,225,,5,Sold,,,http://www.redfin.com/TX/La-Vernia/177-Woodlands-Dr-78121/home/65939238,Sabor,1271436,N,Y,29.2681262,-98.1735557
PAST SALE,April-1-2019,Vacant Land,125 Westfield Rnch,La Vernia,TX,78121,59000,,,Westfield Ranch,,65340,,221,,,Sold,,,http://www.redfin.com/TX/La-Vernia/125-Westfield-Rnch-78121/home/144176669,Sabor,1363573,N,Y,29.3028524,-98.1817395
PAST SALE,April-25-2019,Vacant Land,6647 FM 539,Sutherland Springs,TX,78161,125000,,,N/a,,498195,,197,,,Sold,,,http://www.redfin.com/TX/Sutherland-Springs/6647-FM-539-78161/home/160699946,Sabor,1370617,N,Y,29.2732957,-98.0566728
PAST SALE,April-5-2019,Vacant Land,504 County Road 319,La Vernia,TX,78121,155000,,,Triple R Ranchettes,,629485,,217,,,Sold,,,http://www.redfin.com/TX/Unknown/504-County-Road-319-78121/home/160699956,Sabor,1370619,N,Y,29.2947272,-98.1393432
PAST SALE,May-6-2019,Vacant Land,349 County Road 319,La Vernia,TX,78121,127000,,,Triple R Ranchettes,,527903,,186,,,Sold,,,http://www.redfin.com/TX/Unknown/349-78121/home/146033274,Sabor,1317943,N,Y,29.2947272,-98.1393432
PAST SALE,May-24-2019,Vacant Land,7683 FM 539,Sutherland Springs,TX,78161,85000,,,Sutherland Springs Old Town,,348480,,168,,,Sold,,,http://www.redfin.com/TX/Sutherland-Springs/7683-Farm-to-Market-Road-539-78161/home/148753360,Sabor,1359832,N,Y,29.2685698,-98.0634458
PAST SALE,May-28-2019,Vacant Land,305 Stage Coach,La Vernia,TX,78121,35000,,,Millers Crossing,,47916,,164,,,Sold,,,http://www.redfin.com/TX/La-Vernia/305-Stage-Coach-78121/home/48531883,HARMLS,69474195,N,Y,29.334927,-98.153781
PAST SALE,June-7-2019,Vacant Land,124 Scenic Hills Dr,La Vernia,TX,78121,66000,,,Triple R Ranch,,136342,,154,,,Sold,,,http://www.redfin.com/TX/La-Vernia/124-Scenic-Hills-Dr-78121/home/48535679,Sabor,1374977,N,Y,29.290324,-98.1371939
PAST SALE,June-17-2019,Vacant Land,226 Bluebonnet Rd,La Vernia,TX,78121,59900,,,Country Gardens,,43560,,144,,,Sold,,,http://www.redfin.com/TX/La-Vernia/226-Bluebonnet-Dr-78121/home/48539605,Sabor,1352367,N,Y,29.351526,-98.1218449
PAST SALE,July-22-2019,Vacant Land,2741 1.5 ACRES County Road 357,La Vernia,TX,78121,62500,,,Out/wilson Co,,65340,,109,,,Sold,,,http://www.redfin.com/TX/La-Vernia/2741-1-5-ACRES-County-Road-357-78121/home/160719362,Sabor,1371707,N,Y,29.3541554,-98.1919457
PAST SALE,July-19-2019,Vacant Land,10222 FM 775,Floresville,TX,78114,85000,,,The Estates Of Eagle Creek,,217800,,112,,,Sold,,,http://www.redfin.com/TX/Floresville/10222-FM-775-78114/home/48535163,Sabor,1369190,N,Y,29.260392,-98.188799
PAST SALE,August-2-2019,Vacant Land,344 Fleetwood Ln,Adkins,TX,78101,78000,,,Wood Valley Acre,,135036,,98,,,Sold,,,http://www.redfin.com/TX/Adkins/344-Fleetwood-Ln-78101/home/65939338,Sabor,1399275,N,Y,29.2759956,-98.1952566
PAST SALE,August-19-2019,Vacant Land,217 County Road 319,La Vernia,TX,78121,125000,,,Triple R Ranch,,544935,,81,,,Sold,,,http://www.redfin.com/TX/Unknown/217-County-Road-319-78121/home/163367870,Sabor,1378843,N,Y,29.294827,-98.1398461
PAST SALE,June-26-2019,Vacant Land,152 Westfield Rnch,La Vernia,TX,78121,53000,,,Westfield Ranch - Wilson Count,,48612,,135,,,Sold,,,http://www.redfin.com/TX/La-Vernia/152-Westfield-Rnch-78121/home/160476796,Sabor,1370911,N,Y,29.3012091,-98.1836606
PAST SALE,September-12-2019,Vacant Land,1452 Country Hills Dr,La Vernia,TX,78121,68000,,,Country Hills,,87555,,57,,,Sold,,,http://www.redfin.com/TX/La-Vernia/1452-Country-Hills-Dr-78121/home/48527855,Sabor,1399573,N,Y,29.329298,-98.144764
PAST SALE,December-18-2018,Vacant Land,00 FM 1346,St Hedwig,TX,78152,250000,,,Na,,730283,,325,,,Sold,,,http://www.redfin.com/TX/St-Hedwig/00-FM-1346-78152/home/144265047,Sabor,1277816,N,Y,29.356167,-98.134068
PAST SALE,August-29-2019,Vacant Land,0 0,Lytle,TX,78052,42500,,,Lytle-neal Ad Lt 1 N/2 Of 2,17859,17859,,71,2,,Sold,,,http://www.redfin.com/TX/Lytle/0-78052/home/167083540,Sabor,1390543,N,Y,29.233294,-98.7964137
