SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,June-4-2019,Vacant Land,801 Daffan Ave,Ennis,TX,75119,15000,0,,Ennis-Div,,7231,,590,,,Sold,,,http://www.redfin.com/TX/Ennis/801-Daffan-Ave-75119/home/33577006,NTREIS,14027460,N,Y,32.335726,-96.626513
PAST SALE,June-26-2019,Vacant Land,4 Old Brandon Rd,Milford,TX,76670,10100,0,,Gold Country,,10629,,568,,,Sold,,,http://www.redfin.com/TX/Milford/4-Old-Brandon-Rd-76670/home/166589815,NTREIS,14092853,N,Y,32.113184,-96.954248
PAST SALE,June-26-2019,Vacant Land,5 Old Brandon Rd,Milford,TX,76670,10100,0,,Gold Country,,10629,,568,,,Sold,,,http://www.redfin.com/TX/Milford/5-Old-Brandon-Rd-76670/home/166727286,NTREIS,14092872,N,Y,32.113311,-96.953962
PAST SALE,September-18-2019,Vacant Land,8 Old Brandon Rd,Milford,TX,76670,18500,0,,Gold Country,,10629,,484,,,Sold,,,http://www.redfin.com/TX/Milford/8-Old-Brandon-Rd-76670/home/166727327,NTREIS,14092913,N,Y,32.113184,-96.954248
PAST SALE,July-19-2019,Vacant Land,1104 Estate Dr,Ennis,TX,75119,50000,0,,Sleepy Hollow Estates,,34412,,545,,38,Sold,,,http://www.redfin.com/TX/Ennis/1104-Estate-Dr-75119/home/56711480,NTREIS,14001797,N,Y,32.3503071,-96.6581505
PAST SALE,May-30-2019,Vacant Land,2390 Old Telico Rd,Ennis,TX,75119,29000,0,,A Garza,,80586,,595,,,Sold,,,http://www.redfin.com/TX/Ennis/2390-Old-Telico-Rd-75119/home/110161289,NTREIS,13999911,N,Y,32.3692683,-96.5261655
PAST SALE,June-5-2020,Vacant Land,301 Perry Ave,Waxahachie,TX,75165,22000,0,,Highland Park,,5445,,223,,,Sold,,,http://www.redfin.com/TX/Waxahachie/301-Perry-Ave-75165/home/33596154,NTREIS,14319578,N,Y,32.3812799,-96.834269
PAST SALE,July-17-2020,Vacant Land,Gardner St,Waxahachie,TX,75165,50000,0,,Town,,25439,,181,,,Sold,,,http://www.redfin.com/TX/WAXAHACHIE/GARDNER-ST-75165/home/33660839,NTREIS,14369186,N,Y,32.384296,-96.838523
PAST SALE,January-22-2020,Vacant Land,5511 Ram Trl,Midlothian,TX,76065,85000,0,,Buffalo Hills #1,,51314,,358,,,Sold,,,http://www.redfin.com/TX/Midlothian/5511-Ram-Trl-76065/home/33608971,NTREIS,14242188,N,Y,32.488736,-97.070007
PAST SALE,September-25-2020,Vacant Land,109 E Dickson,Milford,TX,76670,25000,0,,L Dunnegan,,33541,,111,,,Sold,,,http://www.redfin.com/TX/Milford/109-Dickson-St-76670/home/33652451,NTREIS,14414970,N,Y,32.121961,-96.9466417
PAST SALE,April-29-2019,Vacant Land,0 Shady Brook Ln,Ferris,TX,75125,50000,0,,Rock Creek Estates #2,,43560,,626,,,Sold,,,http://www.redfin.com/TX/Ferris/Shady-Brook-Ln-75125/home/173866851,NTREIS,14063140,N,Y,32.520056,-96.729668
PAST SALE,June-12-2020,Vacant Land,Ruby Ave,Midlothian,TX,76065,18000,0,,Skyline Acres - Rev,,10062,,216,,,Sold,,,http://www.redfin.com/TX/MIDLOTHIAN/RUBY-AVE-76065/home/33649718,NTREIS,14322151,N,Y,32.537359,-96.978397
PAST SALE,June-25-2020,Vacant Land,2307 Timber Creek Ct #1438,Cedar Hill,TX,75104,57900,0,,Lake Ridge Sec 17-Ph 1,,29490,,203,,115,Sold,,,http://www.redfin.com/TX/Cedar-Hill/2307-Timber-Creek-Ct-75104/unit-1438/home/145121995,NTREIS,13793902,N,Y,32.543873,-96.9966356
PAST SALE,July-10-2020,Vacant Land,608 E Southbrook Dr,Red Oak,TX,75154,20000,0,,Lindell Estates,,10019,,188,,,Sold,,,http://www.redfin.com/TX/Glenn-Heights/608-E-Southbrook-Dr-75154/home/172394838,NTREIS,14365881,N,Y,32.543644,-96.84465
PAST SALE,July-8-2020,Vacant Land,143 Old Bridge Rd,Waxahachie,TX,75165,100000,0,,Estates Of Garden Valley,,26484,,190,,33,Sold,,,http://www.redfin.com/TX/Waxahachie/143-Old-Bridge-Rd-75165/home/110012741,NTREIS,13943190,N,Y,32.4203749,-96.8081214
PAST SALE,January-31-2020,Vacant Land,0 Lakeway Dr,Waxahachie,TX,75165,72500,0,,Twin Lakes Estate Add Rev,,86684,,349,,,Sold,,,http://www.redfin.com/TX/WAXAHACHIE/LAKEWAY-DR-75165/home/33629042,NTREIS,14193105,N,Y,32.461927,-96.778323
PAST SALE,July-20-2020,Vacant Land,129 Old Bridge Rd,Waxahachie,TX,75165,98000,0,,Estates Of Garden Valley,,15507,,178,,400,Sold,,,http://www.redfin.com/TX/Waxahachie/129-Old-Bridge-Rd-75165/home/110012581,NTREIS,13937041,N,Y,32.4201107,-96.8101226
PAST SALE,June-13-2019,Vacant Land,1104 E Decatur St,Ennis,TX,75119,15000,0,,Smith-Rev,,5750,,581,,,Sold,,,http://www.redfin.com/TX/Ennis/1104-E-Decatur-St-75119/home/163820505,NTREIS,14075854,N,Y,32.3363081,-96.6193557
PAST SALE,April-22-2019,Vacant Land,828 Oak St,Ferris,TX,75125,30000,0,,Weatherford 3rd,,12502,,633,,,Sold,,,http://www.redfin.com/TX/Ferris/828-Oak-St-75125/home/33584079,NTREIS,14013943,N,Y,32.541752,-96.671078
PAST SALE,March-20-2019,Vacant Land,148 Sullivan Way,Waxahachie,TX,75167,109900,0,,Maypearl Hidden Hills Rev,,114084,,666,,75,Sold,,,http://www.redfin.com/TX/Waxahachie/148-Sullivan-Way-75167/home/173718234,NTREIS,13981558,N,Y,32.319507,-96.9727057
PAST SALE,January-21-2019,Vacant Land,408 S Fm 308,Milford,TX,76670,85000,0,,L Dunnegan,,87120,1900,724,,,Sold,,,http://www.redfin.com/TX/Milford/408-FM-308-76670/home/35554813,NTREIS,13891668,N,Y,32.116058,-96.94807
PAST SALE,May-17-2019,Vacant Land,2487 Creekwood Dr,Cedar Hill,TX,75104,67900,0,,Lake Ridge Sec 17 Ph 02,,68041,,608,,31,Sold,,,http://www.redfin.com/TX/Cedar-Hill/2487-Creekwood-Dr-75104/home/32262179,NTREIS,14004416,N,Y,32.5483131,-97.0032135
PAST SALE,April-4-2019,Vacant Land,2024 Blue Ridge Dr #1864,Cedar Hill,TX,75104,79900,0,,Lake Ridge Sec 22 Ph A,,43647,,651,,94,Sold,,,http://www.redfin.com/TX/Cedar-Hill/2024-Blue-Ridge-Dr-75104/unit-1864/home/108446713,NTREIS,14003791,N,Y,32.5404831,-96.9970811
