 $/Acre ,Acres, PRICE ,CDOM,SOLD DATE,County,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,LOT SIZE,LATITUDE,LONGITUDE
" $4,763 ",141.71," $675,000 ",83,3/6/2020,Lee,TBD (141.71 Acres)  County Road 430   ,Dime Box,TX,77853,6172887.6,30.340055,-96.79457
" $6,035 ",142.00," $856,967 ",22,2/28/2020,Lee,000  FM 141   ,Giddings,TX,78942,6185520,30.185931,-96.917439
" $5,578 ",153.69," $857,324 ",40,4/22/2019,Lee,1823  County Road 418   ,Lexington,TX,78947,6694823.52,30.524235,-97.006721
" $4,130 ",193.70," $800,000 ",878,2/5/2019,Lee,Easement off  Hwy 77 Hwy  ,Lexington,TX,78947,8437572,30.462576,-97.007164
" $4,986 ",204.61," $1,020,235 ",29,7/18/2018,Lee,1386  County Road 411   ,Lexington,TX,78947,8912811.6,30.337553,-97.193318
" $4,674 ",344.52," $1,610,335 ",19,9/14/2018,Lee,0000  County Road 309   ,Lexington,TX,78947,15007291.2,30.337553,-97.193318
" $4,743 ",358.00," $1,697,831 ",90,4/24/2020,Lee,000  County Road 314a   ,Lexington,TX,78947,15594480,30.450546,-97.146663
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
